epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,895.109,1.18922,1.21135,0.98389,0.90801,0.87112,0.94243,0.51535,1.53116,0.8174,1.24095,0.000339673,0.000339673,0.000339673
79,1004.64,1.1181,0.87597,1.00164,0.92674,0.88578,0.94718,0.51668,1.51974,0.79235,1.23289,0.000325526,0.000325526,0.000325526
80,1013.25,1.01119,0.82023,0.96817,0.88485,0.92894,0.92335,0.52691,1.47828,0.78985,1.2105,0.000311379,0.000311379,0.000311379
81,1022.03,0.98817,0.8579,0.99445,0.86865,0.93333,0.92025,0.52363,1.46536,0.79719,1.20286,0.000297232,0.000297232,0.000297232
82,1030.7,1.02201,0.83422,1.01447,0.90795,0.93333,0.93598,0.53458,1.44353,0.78066,1.19324,0.000283085,0.000283085,0.000283085
83,1039.25,1.0482,0.82654,0.98633,0.91948,0.91667,0.93715,0.53908,1.44111,0.76356,1.18769,0.000268938,0.000268938,0.000268938
84,1047.95,1.11609,0.85131,1.05924,0.96246,0.88636,0.94981,0.55159,1.48418,0.76513,1.20209,0.000254791,0.000254791,0.000254791
85,1056.32,1.24534,1.64351,0.95403,0.94617,0.90067,0.95554,0.54547,1.51891,0.78035,1.21588,0.000240644,0.000240644,0.000240644
86,1066.31,1.01429,0.87474,0.97759,0.94809,0.93333,0.95615,0.54029,1.55621,0.78936,1.23004,0.000226497,0.000226497,0.000226497
87,1076.97,0.93846,0.75559,0.95258,0.97756,0.93333,0.9567,0.5286,1.56174,0.78181,1.23475,0.000212349,0.000212349,0.000212349
88,1087.06,0.86124,0.7232,0.92366,0.9719,0.93333,0.95581,0.52842,1.56887,0.77281,1.23904,0.000198202,0.000198202,0.000198202
89,1096.93,0.90146,0.70194,0.89284,0.9714,0.92681,0.95548,0.53279,1.57567,0.77008,1.2422,0.000184055,0.000184055,0.000184055
